order_id,customer_name,date,gender,email,phone_number,category,price,quantity,customer_rating
ORD-00024,Margot Berhe,6/8/2026,Female,margot.berhe50@hotmail.com,(954) 449-2807,Home,200.26,,3.6
ORD-00025,Henri Itsimaera,6/8/2026,Male,henri.itsimaera95@gmail.com,(972) 859-7465,Home,97.21,4,4.3
ORD-00026,Boubacar Davis,6/8/2026,Other,boubacar.davis3@me.com,(360) 609-2779,Home,437.47,,2.9
ORD-00027,Samuela Zurita,6/8/2026,Male,samuela.zurita38@gmail.com,(727) 958-4471,Clothing,499.7,2,3.2
ORD-00028,Charlie Bouazza,6/8/2026,Other,charlie.bouazza20@outlook.com,(702) 714-9734,Grocery,51.76,7,2.2
ORD-00029,,6/8/2026,Other,habiyaremye.haddad35@icloud.com,(330) 696-4696,Clothing,456.76,2,4.5
ORD-00030,Firuz Andrews,6/9/2026,Male,firuz.andrews20@yahoo.com,(706) 942-0848,Beauty,68.82,1,3.6
ORD-00031,Finn Benameur,6/9/2026,Other,finn.benameur62@outlook.com,(208) 617-1626,Electronics,419.56,5,1.7
ORD-00032,Eli Myers,6/9/2026,Male,eli.myers47@gmail.com,(304) 834-8705,Toys,239.34,9,1.9
ORD-00033,Joshua Petit,6/9/2026,Male,joshua.petit9@outlook.com,0,Beauty,487.18,6,4.8
ORD-00034,Nuwani Abilov,6/9/2026,Other,nuwani.abilov13@gmail.com,(305) 934-5827,Grocery,408.77,5,
ORD-00035,,2024-13-45,Other,sakala.dompig34@gmail.com,(713) 732-1413,Electronics,81.15,6,2.1
ORD-00036,Katherine Buyoya,6/10/2026,Other,test@@test.com,(605) 828-7996,Grocery,321.15,4,2.4
ORD-00037,Zohra Emmanuel,6/10/2026,Female,zohra.emmanuel85@gmail.com,N/A,Electronic,95.59,7,3.2
ORD-00038,Guillermo Pioche,6/10/2026,Male,guillermo.pioche2@icloud.com,(513) 356-9698,Beauty,169.03,10,2.9
ORD-00039,Isse Leitón,6/10/2026,Male,isse.leitón78@icloud.com,(212) 558-6750,Clothing,NaN,4,3.3
ORD-00040,Rebecca Serifo,6/11/2026,Female,rebecca.serifo69@gmail.com,(281) 635-7183,Electronics,75.21,1,4
ORD-00041,Wissel Demir,6/11/2026,Female,wissel.demir1@gmail.com,(864) 914-6437,Electronics,147.7,9,1.3
ORD-00042,Elizabeth Seumanutafa,6/11/2026,Other,,(253) 839-8943,Grocery,483.15,4,4.2
ORD-00043,Fumihito Bipat,6/11/2026,Male,user@,(216) 784-4457,Toys,107.74,7,4.2
ORD-00044,Mustafa Coulibaly,6/11/2026,Male,mustafa.coulibaly30@gmail.com,(240) 400-7818,Home,116.25,7,2.1
ORDER_ABC,Jacqueline Robbins,6/11/2026,Other,jacqueline.robbins61@hotmail.com,(513) 500-6652,Grocery,236.57,5,1.4
ORD-00046,Rubén Bukovský,6/12/2026,Male,rubén.bukovský83@icloud.com,(817) 592-9662,,68.45,,2.7
ORD-00047,Margaret Prokop,6/12/2026,Malee,margaret.prokop27@gmail.com,(804) 858-4230,123,,2,2
ORD-00048,N/A,6/12/2026,Male,,(585) 707-6759,Home,28.91,8,3.9
ORD-00049,,6/12/2026,Female,maria.jean-charles35@icloud.com,(318) 435-3397,Home,,3,1.4
ORD-00050,Angajo Campos,6/13/2026,1,angajo.campos60@icloud.com,(785) 966-1393,Home,367.4,1,4.8
ORD-00051,Sebastião Tang,6/13/2026,Other,sebastião.tang12@gmail.com,(914) 504-8794,Electronics,219.21,2,1.3
ORD-00052,Yanelis Kravanja,6/13/2026,,yanelis.kravanja73@icloud.com,(859) 598-3373,Home,482.24,4,4.2
ORD-00053,Isireli Mason,6/13/2026,Other,isireli.mason37@gmail.com,(407) 375-3934,Electronics,496.93,3,
ORD 000012,Zacharie El Mokaddem,6/13/2026,Male,zacharie.el mokaddem54@icloud.com,(561) 558-4179,Grocery,124.45,2,2.7
0,Marie Atta,6/13/2026,Other,marie.atta11@icloud.com,(805) 955-5061,Toys,43.54,6,4.6
ORD-00056,Sufyan Reverdy,6/14/2026,Male,sufyan.reverdy10@gmail.com,(952) 847-7238,Electronics,432.77,6,3.4
ORD-00057,Mahende Massé,6/14/2026,,mahende.massé46@gmail.com,(770) 252-4713,Electronics,331.38,6,1.6
ORD-00058,Olivia Schneider,6/14/2026,Female,olivia.schneider61@gmail.com,(770) 724-2133,,60.12,10,10
ORD-00059,Bram Pană,6/14/2026,Male,bram.pană39@gmail.com,(601) 641-4336,Toys,37.63,5,1.7
ORD-00060,Giselle Hackl,6/14/2026,Other,giselle.hackl78@icloud.com,(205) 887-1133,Grocery,,10,3.9
ORD-00061,Gabrielle Lubenov,6/15/2026,Female,gabrielle.lubenov44@icloud.com,(205) 964-5157,Toys,450.3,2,1.2
ORD-00062,Angela D'Angelo,6/15/2026,Other,angela.d'angelo14@gmail.com,555-CALL-NOW,Toys,493.96,9,6.5
ORD-XXXXX,Gehan Moukala,6/15/2026,Other,gehan.moukala40@gmail.com,(913) 586-3756,Home,264.65,4,
ORD-00064,Bernadette Faure,,Female,bernadette.faure92@icloud.com,(916) 720-6399,Toys,435.28,10,4
ORD 000012,Jonas Lai,6/15/2026,Male,jonas.lai77@me.com,(571) 370-2575,Toys,26.99,3,4
ORD-00066,Patrício Hadley,6/15/2026,Male,patrício.hadley25@yahoo.com,(812) 248-2012,Grocery,231.63,6,1
ORD 000012,Kosuke Salas,6/15/2026,Other,kosuke.salas42@gmail.com,(304) 468-6339,Electronics,$$,1,4
-123,Nalwadda Erickson,6/16/2026,Female,nalwadda.erickson40@gmail.com,(202) 969-9878,Beauty,407.81,,1.1
ORDER_ABC,Victor Piaget,6/16/2026,Male,victor.piaget49@gmail.com,(330) 925-9303,Home,456.71,10,3.1
ORD-00070,Christina Majid,6/16/2026,Other,,(617) 419-2245,,189.53,3,3.5
ORD-00071,Geeta Pak,6/16/2026,Female,geeta.pak13@icloud.com,(239) 270-8379,Home,97.73,4,2.4
ORD-00072,Mamadou Seçkin,6/17/2026,,mamadou.seçkin47@gmail.com,(770) 566-5856,Electronics,,,2.3
ORD-00073,x,6/17/2026,Other,qaavigarssuaq.tufele73@gmail.com,(718) 225-7835,Toys,115.11,6,2.2
ORD-00074,Yohana Tautolo,6/17/2026,1,yohana.tautolo61@gmail.com,(262) 301-3021,Electronic,446.12,2,3.5
ORD-00075,Hilda Barrios,6/17/2026,Female,hilda.barrios92@gmail.com,(504) 213-8980,Home,77.56,8,2.3
ORD-00076,Jóhann Roberson,6/17/2026,Male,,(909) 650-6706,Electronics,353.67,8,
ORD-00077,,6/17/2026,Other,renato.olsen88@gmail.com,(810) 443-5464,Toys,353.9,abc,3.5
ORD-00078,Nelson Akbaş,6/18/2026,Male,nelson.akbaş68@icloud.com,(410) 292-4321,Home,308.55,,-2
ORD-00079,Raphaël Bégot,6/18/2026,Other,raphaël.bégot92@gmail.com,(970) 489-7260,Beauty,480.53,,2.3
ORDER_ABC,Nasir Razafindrakoto,6/18/2026,Other,nasir.razafindrakoto80@icloud.com,(305) 657-7901,Home,353.48,9,4.3
ORD-00081,Mwanaidi Mathew,6/18/2026,Other,mwanaidi.mathew61@gmail.com,(765) 946-8441,Clothing,249.78,10,1.5
ORD-00082,Namiq Silva,6/18/2026,Other,namiq.silva84@icloud.com,(616) 968-0928,Electronics,448.35,10,2.2
ORD-00083,Sok Francis,6/19/2026,Other,sok.francis3@gmail.com,(918) 214-0502,,49.47,9,4.1
ORD-00084,Hawa Muchiri,6/19/2026,Female,hawa.muchiri35@hotmail.com,(602) 962-4885,Home,231.29,5,3.9
ORD-00085,Domingo Turk,6/19/2026,Other,domingo.turk33@aol.com,0,Clothing,205.21,8,1
ORD-00086,Sulaiman Querrard,6/19/2026,Other,john.doe@,(814) 877-0341,Clothing,16.62,5,2.5
ORD-00087,asdkjh123,6/19/2026,Male,huthaifa.santoro71@gmail.com,(646) 432-0961,Beauty,276.74,1,4.4
ORD-00088,Ulugbek Markúsdóttir,6/19/2026,Male,ulugbek.markúsdóttir66@gmail.com,(202) 769-6074,123,489.03,8,3.9
ORD-00089,Zahra Nichols,6/20/2026,Female,zahra.nichols80@aol.com,(727) 235-0011,Home,87.54,7,4.7
ORD-00090,Bartłomiej Vujović,6/20/2026,Male,bartłomiej.vujović66@icloud.com,(813) 873-5285,electronics!,343.48,4,1.8
ORD-00091,Horténsia Kralj,6/20/2026,Female,horténsia.kralj11@outlook.com,(407) 877-7412,123,458.45,10,4.5
ORD-00092,Tamer Maono,6/20/2026,M/F,tamer.maono90@icloud.com,(304) 481-2549,,22.6,3,-2
-123,João Alla,6/20/2026,Male,joão.alla59@icloud.com,(206) 216-3111,Home,331.25,9,2.9
ORD-00094,Cosmin Henderson,6/21/2026,Other,cosmin.henderson78@aol.com,(617) 463-0043,Grocery,147.88,7,1.1
ORD-00095,Teresa Cajar,6/21/2026,Other,teresa.cajar49@icloud.com,(203) 596-7790,Grocery,239.4,5,2.8
ORD-00096,Haile Julius,6/21/2026,Male,haile.julius52@hotmail.com,555-CALL-NOW,Electronics,128.49,9,4
ORD-00097,Blessing Halldórsdóttir,6/21/2026,Female,blessing.halldórsdóttir10@gmail.com,(617) 876-3777,Grocery,460.19,8,3.9
ORD-00098,Michelle Jung,6/21/2026,Other,michelle.jung45@gmail.com,(509) 585-5634,Clothing,188.67,2,2.4
,Luís Thomas,6/21/2026,,luís.thomas6@gmail.com,(816) 738-8329,electronics!,72,4,6.5
,'Elisiva Sim,6/22/2026,Female,'elisiva.sim76@icloud.com,(314) 473-2926,Electronics,148.6,zero,4.1
ORD-00101,Giovanni Yaakov,6/22/2026,femal,giovanni.yaakov85@icloud.com,(404) 380-0118,Grocery,200.78,1,
ORD-00102,12345,6/22/2026,Male,cyril.grimaldi7@icloud.com,(808) 526-6751,Clothing,446.75,zero,2.8
ORD-00103,Tasi Ramkissoon,6/22/2026,Female,tasi.ramkissoon33@hotmail.com,(251) 238-0068,Grocery,84.07,6,3.7
ORD-00104,Rosa Safwat,6/22/2026,Other,rosa.safwat66@icloud.com,(281) 561-4309,Clothing,233.62,3,2.2
ORD-00105,Christina Malkhasyan,6/23/2026,Female,christina.malkhasyan77@outlook.com,(415) 564-7977,Toys,484.14,3,2.1
ORD-00106,Adam Susanto,6/23/2026,Male,user@,,Beauty,,2,3.5
ORD-00107,Daniele Cecilia,6/23/2026,Other,daniele.cecilia83@gmail.com,(248) 990-7966,,140.4,8,2.3
ORD-00108,Mansa Morales,6/23/2026,Female,,0,Toys,109.13,5,2.1
ORD-00109,Guillaume Dawood,6/23/2026,Other,guillaume.dawood63@gmail.com,(404) 961-2591,Home,195.66,5,4.9
ORD-00110,Leticia Jacobsson,6/24/2026,Female,leticia.jacobsson71@fastmail.com,(619) 270-7742,Grocery,92.48,3,1.9
ORD-00111,Bobur Gama,6/24/2026,Male,bobur.gama21@icloud.com,(718) 679-1705,Electronics,333.89,9,3.4
ORD-00112,Christian Soteriou,6/24/2026,Male,christian.soteriou21@gmail.com,(804) 485-7294,Electronics,391.76,2,2.8
ORD-00113,Bouasone Kanto,,Unknown123,bouasone.kanto17@gmail.com,(312) 782-0471,Clothing,264.83,9,4.1
ORD-00114,Ivy Phillips,6/24/2026,Other,ivy.phillips81@gmail.com,(559) 261-0549,Toys,241.84,9,2.6
ORD-00115,Yao Zaanoun,6/24/2026,Male,yao.zaanoun90@me.com,(661) 858-8244,Clothing,42.54,9,1.9
ORD-00116,Rim Flores,00/00/0000,Female,rim.flores92@gmail.com,(509) 367-8868,Toys,364.72,5,1.4
ORD-00117,Luka Cissokho,6/25/2026,Male,luka.cissokho96@gmail.com,(858) 372-7003,Clothing,443.62,3.5,4.1
ORD-00118,Jonathan Twaissi,6/25/2026,Other,jonathan.twaissi69@gmail.com,(678) 807-5318,Clothing,90.21,9,2.3
ORD-00119,Josiane Salimov,6/25/2026,Female,,,Home,380.43,7,3.6
ORD-00120,Pascal Torres,6/25/2026,Other,pascal.torres53@gmail.com,(205) 530-6632,Toys,321.83,8,3.1
ORD-00121,Patrick Bwalya,6/26/2026,Male,patrick.bwalya77@icloud.com,(717) 777-2772,Clothing,346.97,5,3.9
ORD-00122,asdkjh123,00/00/0000,Male,smart.guzmán61@icloud.com,(254) 368-6504,Beauty,140.33,3,2.9
ORD-00123,Avtandil Byrd,6/26/2026,Male,test@@test.com,(830) 593-1077,Toys,224.36,8,1.8
ORD-00124,Mercy Sheehan,6/26/2026,Female,mercy.sheehan93@gmail.com,(562) 716-7018,Beauty,425.23,4,2.7
0,Roukia Jackson,6/26/2026,M/F,roukia.jackson46@gmail.com,(414) 463-8747,Beauty,313.38,3.5,3.3
ORD-00126,Guðrið Vanegas,next tuesday,Female,guðrið.vanegas87@aol.com,(818) 540-0243,Clothing,137.11,10,5
ORD-00127,Marcus Martino,6/27/2026,Male,marcus.martino83@gmail.com,(603) 249-1930,Grocery,98.36,9,3.5
ORD-00128,Galuh Žerjav,6/27/2026,,galuh.žerjav61@gmail.com,(719) 910-9883,Electronics,119.21,3,1
ORD-00129,Annabelle Tutein,6/27/2026,Other,annabelle.tutein5@proton.me,(763) 336-9246,Electronics,209.78,10,6.5
ORD-00130,Ricardo Colon,6/27/2026,Male,ricardo.colon31@gmail.com,(508) 453-3746,misc,345.38,6,2.7
ORD-00131,Lisa Ghariani,6/27/2026,Other,lisa.ghariani50@gmail.com,(610) 549-9064,Beauty,57.43,9,4.8
ORD-00132,Melvin Sabir,6/27/2026,Male,melvin.sabir38@gmail.com,(281) 419-0103,Electronics,461.94,5,1.7
ORD 000012,David Norman,6/28/2026,Other,david.norman84@gmail.com,(417) 423-8935,N/A,96.57,2,2.8
ORD-00134,Alphonso Martinez,6/28/2026,Other,alphonso.martinez97@icloud.com,(661) 750-6131,Electronics,282.33,4,4.3
ORD-00135,Thomas Jennings,6/28/2026,Other,thomas.jennings45@icloud.com,(954) 606-5032,Toys,999999.99,10,2.9
,Định Timbo,6/28/2026,Male,định.timbo1@yahoo.com,(612) 692-9058,Grocery,107.07,2,4.6
ORD-00137,N/A,6/28/2026,Other,caleb.el jirari35@gmail.com,(704) 525-0304,Home,421.43,7,2.9
ORD-00138,Jarin Ranasinghe,,Female,jarin.ranasinghe87@gmail.com,(573) 731-4344,Home,999999.99,3,N/A
ORD-00139,Lucy Ballantine,6/29/2026,Female,lucy.ballantine54@outlook.com,(302) 874-3774,Beauty,216.82,7,1.9
ORD-00140,Ngozi Ekane,6/29/2026,Other,ngozi.ekane63@icloud.com,(719) 418-5925,123,30.52,7,6.5
ORD-00141,Valerie Al-Johani,6/29/2026,Female,valerie.al-johani52@yahoo.com,(813) 655-6357,Grocery,319.58,6,2.6
ORD-00142,Milada Cole,00/00/0000,Other,milada.cole92@icloud.com,(772) 646-7371,Beauty,98.83,9,2.5
ORD-00143,Haya Nicolaidis,6/30/2026,Female,haya.nicolaidis24@gmail.com,(205) 253-3531,Toys,155,8,4.3
ORD-00144,Jeannette Xu,6/30/2026,Female,jeannette.xu68@gmail.com,(518) 469-8179,Home,363.42,7,4
,Ellie Ramdass,6/30/2026,Female,ellie.ramdass31@hotmail.com,(512) 495-6343,Toys,104.82,10,4.1
ORD-00146,Athian Debnath,6/30/2026,Other,athian.debnath30@gmail.com,(919) 843-6953,Beauty,,8,4.2
ORD-00147,Matthew Perkins,6/30/2026,Male,matthew.perkins58@gmail.com,(772) 354-1145,Electronic,210.1,5,2.9
ORD-00148,Zora Al-Hashimi,7/1/2026,,zora.al-hashimi79@gmail.com,(913) 415-8773,Grocery,294.27,5,3.8
ORD-00149,,7/1/2026,Other,xiang.ayala4@icloud.com,(309) 410-3758,Home,36.91,3,3.5
ORD-00150,Oi Yee Grygorenko,7/1/2026,Other,oi yee.grygorenko25@icloud.com,,electronics!,,4,five
ORD-00151,Ana Benmalek,00/00/0000,Female,ana.benmalek63@icloud.com,(334) 371-4668,Home,89.74,2,1.1
ORD-00152,Hanum Renaud,7/1/2026,Other,,(901) 953-8144,Grocery,393.15,3,1.7
ORD-00153,Jamilah Campana,next tuesday,Other,jamilah.campana76@icloud.com,(816) 817-1575,,458.6,9,4.2
ORD-00154,Frederick Yaalon,7/2/2026,Male,frederick.yaalon13@gmail.com,(361) 829-5043,Electronics,196.23,10,3.5
ORD-00155,Violet Alizada,7/2/2026,femal,violet.alizada42@gmail.com,(808) 458-2285,Grocery,263.97,9,10
ORD-00156,Sopheak Kairys,7/2/2026,Male,sopheak.kairys60@icloud.com,(904) 404-6831,Clothing,406.3,3,2.4
ORD-00157,Wangechi Enchev,7/2/2026,Female,wangechi.enchev2@gmail.com,(281) 972-6609,Grocery,333.13,5,2.7
ORD-00158,Josephine Al-Amiri,7/3/2026,Female,josephine.al-amiri46@gmail.com,(202) 894-5577,Home,$$,4,3.5
ORD-00159,Linda Tošić,7/2/2026,Female,linda.tošić37@gmail.com,(954) 504-7536,Home,144.51,1,3.4
ORD-00160,Lisiate Mokalake,7/3/2026,Male,lisiate.mokalake51@icloud.com,(251) 651-3557,Grocery,190.8,5,3.1
ORD-00161,Nicole Simon,31/02/2024,Other,nicole.simon87@gmail.com,(405) 287-6182,Toys,468.71,2,
,Maksymilian Rashid,7/3/2026,Other,maksymilian.rashid18@icloud.com,(214) 973-9981,Beauty,301.94,10,2.3
ORDER_ABC,Binta Steffensen,7/3/2026,Female,binta.steffensen32@hotmail.com,N/A,Clothing,247.41,5,3.2
ORD-00164,Hendrik Fettah,7/3/2026,Male,hendrik.fettah36@yahoo.com,(602) 433-9860,Grocery,495.05,9,2.2
,,7/4/2026,Other,colleen.dikembe60@gmail.com,(212) 985-9918,Grocery,112.89,5,4.2
ORD-00166,Adrienne Griffin,7/4/2026,Other,adrienne.griffin93@hotmail.com,(202) 455-0090,Home,381.56,8,
ORD-00167,Rachel Tum,7/4/2026,Other,rachel.tum61@yahoo.com,(206) 879-6096,Clothing,408.15,5,1.1
ORD-00168,Luna Kaneko,7/4/2026,Female,luna.kaneko74@gmail.com,(209) 872-8344,,411.32,5,2.5
ORD-00169,Kholid Anderson,7/4/2026,Other,kholid.anderson80@gmail.com,(623) 694-5547,,496.84,6,2.6
ORD-00170,Ronald Byrd,7/5/2026,Male,ronald.byrd9@gmail.com,(214) 855-8557,Home,238.8,3,2.9
ORD-00171,Pougouli Harris,7/5/2026,Other,pougouli.harris4@gmail.com,(214) 283-5491,Home,359.6,3,2.3
ORD-00172,Gregory Elcock,7/5/2026,Other,gregory.elcock81@gmail.com,(318) 555-8967,Home,128.1,3,2.8
ORD-00173,Amira Matemba,,Female,amira.matemba11@gmail.com,N/A,Home,407.86,9,2.4
ORD-00174,Elina Gomez,7/5/2026,,elina.gomez65@icloud.com,(505) 262-5151,Grocery,271.12,abc,2.5
ORD-00175,Monica Larsen,7/6/2026,Other,monica.larsen16@gmail.com,(304) 500-2144,Home,123.52,9,2
ORD-00176,Adam Bells,7/6/2026,Other,adam.bells92@icloud.com,0,Home,494.52,4,4.2
ORD-00177,Rani Thomas,7/6/2026,Male,,(412) 470-9590,,290.09,1000000,
ORD-00178,Mariah Mukasa,7/6/2026,Female,mariah.mukasa29@gmail.com,(213) 607-7996,Home,23.36,2,2.2
,Orville Al Kindi,7/6/2026,Other,not-an-email,(772) 318-6708,Electronics,399.71,9,3.9
ORD-00180,Philippe Nakku,7/7/2026,Male,philippe.nakku57@gmail.com,(419) 978-6392,Grocery,70.55,4,3.9
ORD-00181,Margarete Butler,7/7/2026,Other,margarete.butler68@gmail.com,(336) 541-3309,Grocery,191.11,3,2.1
ORD-00182,Lukusa Edri,7/7/2026,Male,,(515) 919-4017,Grocery,280.75,10,-2
ORD-00183,Alfredo Ranjbar,7/7/2026,Male,alfredo.ranjbar16@gmail.com,(510) 787-3667,Grocery,211.07,4,2.8
ORD-00184,Fernando Terry,7/7/2026,Male,fernando.terry27@outlook.com,(702) 417-9098,,474.34,1,3.2
ORD-00185,,7/8/2026,Other,lamin.stevens88@gmail.com,(865) 662-7021,Beauty,83.84,7,4.2
ORD-00186,Marcus Gabay,7/8/2026,Male,marcus.gabay95@gmail.com,+,Toys,491.23,3,1.6
ORD-00187,Maya Iheanacho,7/8/2026,Female,maya.iheanacho87@icloud.com,(561) 894-1930,Grocery,46.05,6,4.5
ORD-00188,Sushmita Kimpolo,7/8/2026,Female,sushmita.kimpolo41@hotmail.com,(918) 800-1328,Clothing,236.38,4,4
ORD-00189,Thomson Seerattan,7/8/2026,Male,thomson.seerattan65@gmail.com,(319) 828-1241,,NaN,6,five
ORD-00190,Zeinabou Eriksen,7/8/2026,Other,zeinabou.eriksen17@gmail.com,(860) 391-8847,Home,14.41,9,3.1
ORD-00191,Graciela Zedginidze,7/9/2026,Other,graciela.zedginidze20@gmail.com,(412) 264-9634,N/A,97.31,6,4.2
ORD-00192,Rita Fuchs,7/9/2026,Female,rita.fuchs27@hotmail.com,(915) 538-1319,,305.14,7,3.2
ORD-00193,Giulia Chiriac,7/9/2026,Other,giulia.chiriac41@hotmail.com,(916) 952-2325,Beauty,198.88,6,3.2
ORD-00194,Chloe Te Awa,7/9/2026,Other,chloe.te awa68@gmail.com,(212) 432-0547,Toys,174.05,4,2.7
-123,Turan Escobar,next tuesday,Other,turan.escobar22@gmail.com,(615) 563-2936,Toys,27.58,5,3.5
ORD-00196,Alemayehu Pérez,,Other,alemayehu.pérez95@gmail.com,(305) 252-2203,Toys,358.55,3,5
ORD-00197,Eldin Benmohamed,7/10/2026,Male,john.doe@,555-CALL-NOW,Home,246.94,1,1.8
ORD-00198,Tufuga Octave,7/10/2026,Other,tufuga.octave70@gmail.com,(210) 774-8239,Home,498.12,8,1.3
ORD-00199,Fatuma Morales,7/10/2026,Other,fatuma.morales4@icloud.com,(253) 830-2018,Clothing,49.42,4,3
ORD-00200,N/A,7/10/2026,Other,azza.prudent77@gmail.com,(215) 592-9577,Clothing,148.42,7,3.3
ORD-00201,Lama Kgosiemang,7/10/2026,Other,lama.kgosiemang1@icloud.com,(915) 834-4387,Grocery,111.4,2,4
ORD-00202,Miguel Păun,7/11/2026,Other,miguel.păun54@gmail.com,(972) 687-9027,Beauty,99.04,9,2.8
ORD-00203,Octavio Nunes,7/11/2026,Other,octavio.nunes82@charter.net,(269) 293-2225,Electronics,29.3,9,1.3
ORD-00204,Ellen Hewitt,7/11/2026,Female,ellen.hewitt4@icloud.com,(813) 817-0420,Toys,65.93,4,4.6
ORD-00205,Olusola Castillo,7/11/2026,Other,olusola.castillo18@gmail.com,,Clothing,495.73,5,2.4
ORD-00206,Gundega Al Kooheji,7/11/2026,Other,gundega.al kooheji78@gmail.com,(915) 594-9284,Clothing,202.99,,4
ORD-00207,Hussain Akech,7/11/2026,,hussain.akech9@gmail.com,(619) 719-2993,Electronics,17.92,zero,N/A
ORD-00208,Nina Sifaw Siala,7/12/2026,Other,nina.sifaw siala74@icloud.com,(617) 424-0791,Electronics,245.09,6,3.8
ORD-00209,Margarete Abu Laban,7/12/2026,Female,john.doe@,(804) 818-9963,Beauty,442.32,3,1.7
ORD-00210,Nusaiba Nash,7/12/2026,Female,nusaiba.nash32@gmail.com,,Beauty,66.55,5,1.2
ORDER_ABC,x,7/12/2026,Female,nicole.fong93@hotmail.com,(941) 531-7971,Beauty,203.96,7,1.8
ORD-00212,Khensani Griffin,7/12/2026,Female,khensani.griffin44@gmail.com,,Electronics,405.12,7,
ORD-00213,,7/13/2026,Other,justin.shillingford87@gmail.com,(337) 622-6060,Clothing,327.14,2,2.9
ORD-00214,Beatriz Essomba,7/13/2026,Female,user@,(228) 604-3712,Clothing,121.13,,1.3
ORD-00215,Aom Anwar,7/13/2026,Female,aom.anwar22@icloud.com,(727) 598-0295,Toys,486.38,,2.9
ORD-00216,Zachariah Sharma,7/13/2026,Male,zachariah.sharma11@yahoo.com,(801) 366-4767,Toys,455.91,3,2.2
ORD-00217,Venla Mattila,7/13/2026,Female,user@,,Clothing,41.56,7,1.4
0,Bongani Médéa,7/13/2026,Male,bongani.médéa87@icloud.com,(413) 537-6576,Home,30.8,8,4.1
ORD-00219,Yassira Pintér,,Other,yassira.pintér27@yahoo.com,(727) 696-9923,,211.87,5,4.7
ORD 000012,Theodosia Panayiotou,7/14/2026,Other,theodosia.panayiotou1@yahoo.com,(414) 405-0915,Grocery,228.13,4,3.2
ORD-00221,Samuel Marshall,7/14/2026,Male,samuel.marshall24@gmail.com,(719) 566-8278,Toys,424.2,6,2.4
ORD-00222,Mona Peltonen,,Female,mona.peltonen26@icloud.com,(915) 782-7449,Beauty,361.91,9,3.6
ORD-00223,Amélie Kharchenko,7/14/2026,Other,,(713) 315-8724,Home,374.88,2,1.1
ORD-00224,Bertrand Abdou,7/15/2026,Other,bertrand.abdou19@gmail.com,555-CALL-NOW,Grocery,256.8,7,3.3
ORD-00225,Pailin Büyük,7/15/2026,Other,pailin.büyük4@aol.com,(203) 344-4615,Home,484.64,1,1.4
